occurrence_no,name,diet,type,length_m,max_ma,min_ma,region,lng,lat,class,family,years
1269345,Tarbosaurus,carnivorous,large theropod,10,72.1,66,Omnogov,101.050003,43.501667,Saurischia,Tyrannosauridae,69.05
1269348,Gallimimus,omnivorous,large theropod,6,72.1,66,Omnogov,101.050003,43.501667,Saurischia,Ornithomimidae,69.05
1269349,Tarbosaurus,carnivorous,large theropod,10,72.1,66,Omnogov,101.050003,43.501667,Saurischia,Tyrannosauridae,69.05
1269836,Tarbosaurus,carnivorous,large theropod,10,72.1,66,Omnogov,100.503891,43.598057,Saurischia,Tyrannosauridae,69.05
1271469,Velociraptor,carnivorous,small theropod,1.8,83.6,72.1,Omnogov,103.288887,44.232777,Saurischia,Dromaeosauridae,77.85
1272883,Saurornithoides,carnivorous,small theropod,3,83.5,66,Omnogov,99.82917,43.316387,Saurischia,Troodontidae,74.75
1273730,Velociraptor,carnivorous,small theropod,1.8,83.6,72.1,Dornogov,107.843613,43.663334,Saurischia,Dromaeosauridae,77.85
1280940,Baryonyx,carnivorous,large theropod,10,129.4,125,La Rioja,-2.281047,42.145988,Saurischia,Spinosauridae,127.2
1292812,Richardoestesia,carnivorous,small theropod,1.5,83.5,70.6,Castilla y Leon,-2.634513,42.664555,Saurischia,Dromaeosauridae,77.05
1299065,Lufengosaurus,herbivorous,sauropod,6,201.3,199.3,Yunnan,102.082504,24.957121,Saurischia,Massospondylidae,200.3
1299578,Megalosaurus,carnivorous,large theropod,9,129.4,125,La Rioja,-2.29957,42.200554,Saurischia,Megalosauridae,127.2
1299580,Megalosaurus,carnivorous,large theropod,9,129.4,125,La Rioja,-2.29957,42.200554,Saurischia,Megalosauridae,127.2
1299586,Megalosaurus,carnivorous,large theropod,9,129.4,125,La Rioja,-2.29957,42.200554,Saurischia,Megalosauridae,127.2
1299745,Megalosaurus,carnivorous,large theropod,9,129.4,125,La Rioja,-2.28049,42.2015,Saurischia,Megalosauridae,127.2
1299749,Megalosaurus,carnivorous,large theropod,9,129.4,125,La Rioja,-2.28049,42.2015,Saurischia,Megalosauridae,127.2
1299753,Megalosaurus,carnivorous,large theropod,9,129.4,125,La Rioja,-2.28049,42.2015,Saurischia,Megalosauridae,127.2
1299755,Megalosaurus,carnivorous,large theropod,9,129.4,125,La Rioja,-2.28049,42.2015,Saurischia,Megalosauridae,127.2
1299760,Megalosaurus,carnivorous,large theropod,9,125,113,La Rioja,-2.193568,42.126328,Saurischia,Megalosauridae,119
1304903,Hypselosaurus,herbivorous,sauropod,12,72.1,66,Bouches-du-Rhône,5.699878,43.480824,Saurischia,Titanosauridae,69.05
1317658,Apatosaurus,herbivorous,sauropod,21,157.3,145,Utah,-109.223335,40.405556,Saurischia,Diplodocidae,151.15
1317661,Allosaurus,carnivorous,large theropod,12,150.8,145,Wyoming,-106.145699,41.98,Saurischia,Allosauridae,147.9
1317663,Diplodocus,herbivorous,sauropod,26,150.8,145,Wyoming,-106.145699,41.98,Saurischia,Diplodocidae,147.9
1317666,Barosaurus,herbivorous,sauropod,24,157.3,152.1,Wyoming,-106.866402,44.0933,Saurischia,Diplodocidae,154.7
1317667,Allosaurus,carnivorous,large theropod,12,157.3,152.1,Wyoming,-106.866402,44.0933,Saurischia,Allosauridae,154.7
1317669,Diplodocus,herbivorous,sauropod,26,157.3,152.1,Wyoming,-106.866402,44.0933,Saurischia,Diplodocidae,154.7
1317670,Apatosaurus,herbivorous,sauropod,21,157.3,152.1,Wyoming,-106.866402,44.0933,Saurischia,Diplodocidae,154.7
1317674,Allosaurus,carnivorous,large theropod,12,157.3,152.1,Wyoming,-106.866402,44.0933,Saurischia,Allosauridae,154.7
1320129,Deinonychus,carnivorous,small theropod,3,113,100.5,Montana,-108.729599,45.487,Saurischia,Dromaeosauridae,106.75
1320131,Allosaurus,carnivorous,large theropod,12,157.3,145,Colorado,-103.676201,37.5322,Saurischia,Allosauridae,151.15
1320133,Allosaurus,carnivorous,large theropod,12,157.3,145,Colorado,-108.391647,40.455929,Saurischia,Allosauridae,151.15
1327680,Ornithomimus,omnivorous,large theropod,4,83.5,70.6,Delaware,-75.650558,39.555,Saurischia,Ornithomimidae,77.05
1328397,Tarbosaurus,carnivorous,large theropod,10,83.6,66,Omnogov,100.366669,43.479168,Saurischia,Tyrannosauridae,74.8
1328398,Tarbosaurus,carnivorous,large theropod,10,83.5,66,Omnogov,101.275002,43.491669,Saurischia,Tyrannosauridae,74.75
1330768,Mamenchisaurus,herbivorous,sauropod,22,152.1,145,Govi-Altay,95.811943,44.072224,Saurischia,Mamenchisauridae,148.55
1330779,Mamenchisaurus,herbivorous,sauropod,22,152.1,145,Govi-Altay,95.811943,44.072224,Saurischia,Mamenchisauridae,148.55
1330788,Mamenchisaurus,herbivorous,sauropod,22,152.1,145,Govi-Altay,95.811943,44.072224,Saurischia,Mamenchisauridae,148.55
1330791,Mamenchisaurus,herbivorous,sauropod,22,152.1,145,Govi-Altay,95.811943,44.072224,Saurischia,Mamenchisauridae,148.55
1330800,Mamenchisaurus,herbivorous,sauropod,22,152.1,145,Govi-Altay,95.811943,44.072224,Saurischia,Mamenchisauridae,148.55
1331290,Troodon,carnivorous,small theropod,2,83.5,70.6,Alberta,-111.350998,50.786098,Saurischia,Troodontidae,77.05
1331291,Troodon,carnivorous,small theropod,2,83.5,70.6,Alberta,-111.500397,50.727901,Saurischia,Troodontidae,77.05
1331292,Troodon,carnivorous,small theropod,2,83.5,70.6,Alberta,-111.546402,50.742401,Saurischia,Troodontidae,77.05
1331293,Troodon,carnivorous,small theropod,2,83.5,70.6,Alberta,-111.477402,50.742401,Saurischia,Troodontidae,77.05
1331294,Troodon,carnivorous,small theropod,2,83.5,70.6,Alberta,-111.569397,50.822399,Saurischia,Troodontidae,77.05
1331295,Troodon,carnivorous,small theropod,2,83.5,70.6,Alberta,-111.510002,50.778,Saurischia,Troodontidae,77.05
1331296,Troodon,carnivorous,small theropod,2,83.5,70.6,Alberta,-111.510002,50.778,Saurischia,Troodontidae,77.05
1331516,Alamosaurus,herbivorous,sauropod,21,70.6,66,New Mexico,-108.084198,36.343899,Saurischia,Saltasauridae,68.3
1333016,Tarbosaurus,carnivorous,large theropod,10,72.1,66,Omnogov,99.833054,43.474724,Saurischia,Tyrannosauridae,69.05
1333017,Therizinosaurus,herbivorous,large theropod,10,72.1,66,Omnogov,99.833054,43.474724,Saurischia,Therizinosauridae,69.05
1333030,Velociraptor,carnivorous,small theropod,1.8,83.6,72.1,Omnogov,99.599998,43.299999,Saurischia,Dromaeosauridae,77.85
1334981,Massospondylus,omnivorous,sauropod,4,201.3,190.8,Matabeleland South,29.566,-22.13658,Saurischia,Massospondylidae,196.05
1337487,Nemegtosaurus,herbivorous,sauropod,13,83.6,66,Omnogov,101.047775,43.503334,Saurischia,Nemegtosauridae,74.8
1337488,Gallimimus,omnivorous,large theropod,6,83.6,66,Omnogov,101.047775,43.502499,Saurischia,Ornithomimidae,74.8
1337490,Gallimimus,omnivorous,large theropod,6,83.6,66,Omnogov,101.04583,43.503056,Saurischia,Ornithomimidae,74.8
1337491,Gallimimus,omnivorous,large theropod,6,83.6,66,Omnogov,101.029846,43.519463,Saurischia,Ornithomimidae,74.8
1338362,Gallimimus,omnivorous,large theropod,6,83.6,66,Omnogov,101.045555,43.515556,Saurischia,Ornithomimidae,74.8
1338363,Tarbosaurus,carnivorous,large theropod,10,83.6,66,Omnogov,101.045555,43.516388,Saurischia,Tyrannosauridae,74.8
1338364,Tarbosaurus,carnivorous,large theropod,10,83.6,66,Omnogov,101.052498,43.504723,Saurischia,Tyrannosauridae,74.8
